global_order,image_path,variant,hardware_source,native_pixels,image_dir,marker_sha256,wall_seconds,gradient_seconds,reference_seconds
23,train/attack/digital_2/iphone15pro/arabic-NF-1098.jpg,digital_2,iphone15pro,4219392,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/23_bce26a91c0ff,4174406cde6a837750a54eacb3dbb2c3a6705fc969089a006740d145fefc1656,64.12411545299983,37.270009265002045,13.526805713999238
24,train/attack/digital_2/scan/arabic-NF-1098.jpg,digital_2,scan,2496000,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/24_7c977c998d30,91901eb30da50345e287d87a53ed75f77b583ec25255d66889a300df883c35aa,32.32706326300013,17.141754312000558,6.948487486001795
25,train/attack/digital_1/huawei/arabic-NM-1090.jpg,digital_1,huawei,6291897,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/25_9e1bef3fc392,f737418e5f75aadd32d0c08e345079162e47b0383c4391b6d9c07786a2fba7af,726.6798567530004,381.36542206399827,304.77362642799835
26,train/attack/digital_1/iphone15pro/arabic-NM-1090.jpg,digital_1,iphone15pro,4887522,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/26_319cd7c8bef4,e86a524d6986eec36895df10cc2892f93c7c2c249b7227d79c0554017faef2a2,118.73946095800056,84.30721543500022,16.730359160997068
27,train/attack/digital_1/scan/arabic-NM-1090.jpg,digital_1,scan,2489257,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/27_2155706f18a3,df92d56ea1f28a8b6f094cc79bd618284f30ac1cde9140bb7e34645fd28f361a,32.203931512000054,17.344959521002238,6.974949395999829
28,train/attack/digital_2/huawei/arabic-NM-1090.jpg,digital_2,huawei,6291897,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/28_725b8ce3558d,e743dd44d358673e499d67f8c575d14d2eba38cb0bed9adf80d3e187596f851a,744.8116985540009,390.6639648140008,313.6872727689988
29,train/attack/digital_2/iphone15pro/arabic-NM-1090.jpg,digital_2,iphone15pro,4887522,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/29_dcb62e3c3963,b4e94707db4d9a45071263aa3f8782ea58047827939a81e7673c14ee548a9e40,120.81209978299921,85.83021873799953,16.630232970002908
30,train/attack/digital_2/scan/arabic-NM-1090.jpg,digital_2,scan,2489257,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/30_871b8ecbf0ff,a7d6053dafa98a961e1f71793ac37c31497a428d776b0ce073e16b84ac31dd64,32.63269373500043,17.36517210299644,7.0646284769991325
31,train/attack/digital_1/huawei/chinese-001_03.jpg,digital_1,huawei,6264666,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/31_b72bb8d023e3,91b6883b9c8354deca7eea24e8c9c93e58825475c5b553e2a3176f59b0bdb445,697.5657144380002,378.45127355799923,279.0848804640027
32,train/attack/digital_1/iphone15pro/chinese-001_03.jpg,digital_1,iphone15pro,4903170,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/32_0e6185f6d1e0,3cc5f0314e74ce5eb42ec8c1dce0f21186447b06aa18d7863c41dd4d20afd864,117.95831175400053,83.17371531599565,16.810002279005857
33,train/attack/digital_1/scan/chinese-001_03.jpg,digital_1,scan,2484768,/home/u5757978/ForgedDocDeepID/output/LABPC/trufor_adversarial_localisation_attack/full_population/images/33_f3a61eaf41b1,79db770604d11d54954fe1a8d87d60be2691db7692792b4cd7a503b2aa834098,32.07775230799962,17.153573171999597,6.905427444999077
